Gene	interactors
ACER1	ACP1, AFG3L2, COX5B, GHITM, MRPL44, NDUFA10, NDUFA12, NDUFA5, NDUFA6, NDUFA8, NDUFA9, NDUFAB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, NIT1, PCK1, UQCR10, UQCRB, YME1L1
ACHE	APP, CANX, COL4A1, COLQ, EIF2D, ENO1, GNB2L1, GOLGA2, HAND1, LAMA1, LAMB1, PRIMA1
ACIN1	API5, BANF1, BCAS2, BCRP1, BET1, BOP1, C7orf55-LUC7L2, CASP3, CAV1, CLK2, CSGALNACT1, DDX17, DHRS7B, DHX15, DHX9, EIF4A3, EPB41L2, EVPL, FUT8, HNRNPA1, HRH2, LGMN, LRRK2, LUC7L, LUC7L2, MAGOH, MAGOHB, MIF, NDUFAF4, NFIA, PNN, PRKACA, PRKCA, PRPF40A, PRPF6, PTCD3, RCC1, RHOT2, RNPS1, RPL7, RPS13, RRP7A, RRS1, RWDD2A, S100A9, SAFB, SAP18, SEPT2, SEPT7, SF3A1, SF3A2, SGTB, SLC3A2, SMU1, SNAP91, SNIP1, SON, SRP14, SRPK1, SRPK2, SRRM2, SSRP1, SUB1, SUPT16H, THRAP3, TRMT112, U2AF1, U2AF2, WIBG, WSB2, ZC3H18
ACKR2	CCL11, CCL13, CCL14, CCL19, CCL2, CCL21, CCL25, CCL27, CCL28, CCL3, CCL4, CCL5, CCL7, CCL8, CDK18, EFNA5, SACM1L, SCYL1, SCYL2, SLC13A4, TMEM167B
ACKR3	ATP13A2, ATP5A1, ATP5B, ATP5D, ATP5O, CD164, HECTD2
ACKR4	CCL11, CCL13, CCL19, CCL2, CCL21, CCL25, CCL5, CCL7, CCL8, CXCL13, SCYL1
ACLY	C11orf82, CCNL1, CS, CTH, CUL3, EEF1D, EIF4A1, GSK3B, HGS, HNRNPH1, HNRNPK, HSPA8, KAT2B, KLHL25, KPNA2, KPNA4, MCM2, MCM6, MCM7, NAPRT1, NCL, NME1-NME2, NME2, NUP210L, PPP2R1A, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R2D, PPP6C, PRKACA, PRMT1, PYGB, RPE, RPS3, SDHA, SDHB, SEC16A, SHC1, SIRT2, SRRT, STIP1, TRIM25, TUBB, TUBB3, UBR4, USP13
ACMSD	CDK20, PLIN3
ACN9	ABHD11, ACP1, ACP6, ATP5J, BOLA1, BOLA3, C1QBP, C6orf57, DHRS4, ECH1, GLRX5, GOLPH3, HOGA1, INPP5E, NDUFAB1, NME4, OGDH, PMPCA, SDHA, SDHB, SHMT2
ACO1	C12orf57, FBXL5, GBE1, LGALS1, PSMG1, TXNDC17
ACO2	ACAA2, ACAT1, AK3, ALDH5A1, ALDOA, ALDOC, ATP1B1, ATP5F1, ATP5J, CKB, CLPP, ESD, GPD1, GPD1L, GPD2, IDH3A, MYH14, MYH7B, PDK1, PITPNB, PSMD4, SIN3A, SOD2, VAPA
ACOT1	ACOT2, COX4I1, CXADR, HIBCH, SCO1, SFXN1, TFAP2A
ACOT11	ACOT12, GEMIN6, TEKT2, THUMPD3
ACOT12	ACOT11, INPPL1, SPAG9, TLR5, ZBTB8A, ZMYM6
ACOT13	ATIC, C19orf10, CMPK1, ECI2, IL25, IL27, KLC2, KPNA2, LMAN2L, NDUFAF2, NDUFS3, NHP2L1, NIT1, NUP214, PCTP, PDIA6, PPP2R4, PUS7, RAB31, SBDS, SDS, TNN, TRNT1, TSFM, UBE2N
ACOT2	ACOT1, PEX5, RBM23, SPATA33, WDR18, ZNF277
ACOT4	PEX5
ACOT6	ATP6V1G2
ACOT7	ALDH9A1, ATP5A1, BOLA1, CAB39L, CRYAB, DHRS4, DHRS4L2, DLC1, HP, PCBP1, PHYHIPL, PKNOX1, POU6F1, PPM1K, RABGAP1L, RCC2, RELT, UBXN1
ACOT8	KLHL23, PEX5, PML, PRDM16
ACOX1	ACBD7, ADAMTSL1, BOC, CAT, COX6B1, ECI1, FOXS1, GRHPR, GSTA1, HRSP12, M6PR, MBNL2, MRPL12, NUP62, PALLD, PEX14, PEX5, PNMA1, PPWD1, RECK, RPLP0, SCP2, TMED9, TYSND1, UBE2D2
ACOX2	DYNLT1, PEX5, SLMAP, STRN3
ACOX3	CENPH, FKBP6, HERC3, MICU2, PEX5, TMEM150A, YTHDF1
ACP1	ABRACL, ACER1, ACN9, ACP6, ACTB, ADA, ATP5A1, ATPAF2, BOLA1, BRIP1, C7orf55, CCDC58, CD14, CTC-260F20.3, CTNNB1, CYC1, EPHA2, EPHB1, EPHB2, ETFA, ETFB, FABP4, FYN, GADD45GIP1, GLDC, GOT1, HINFP, ICT1, INSR, KDR, KRT74, LCK, LYRM1, LYRM2, LYRM4, LYRM5, LYRM7, MADD, MALSU1, MCCC2, MGST3, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL9, MRPS18A, MRPS30, MS4A4E, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAF5, NDUFB1, NDUFB10, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, NIT1, OXSM, PCBP1, PITP PPIL3, RPL12, RPL13, SDHB, SFMBT1, SLK, SPATA20, SPRYD4, SPTAN1, TALDO1, TKT, TKTL2, UQCR10, UQCR11, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRQ, ZAP70, PPIL3, PITP EPHB2
ACP2	ATP6V0E1, DNAJB11, LGALS2, LGALS3, M6PR, NIF3L1, SGCD, TRHR, UQCRFS1
ACP5	CIZ1, HSD17B7, SPP1
ACP6	ACN9, ACP1, ADCK1, BOLA3, C14orf159, C1QBP, CYCS, ECH1, GOLPH3, INPP5E, LIMS1, NDUFAB1, NME4, NRD1, PMPCA, PMPCB, RSU1, SDHB, STOML2
ACPL2	ADCY9, FURIN, GNPTAB
ACPP	ERBB2, L2HGDH, MMRN1
ACR	SERPINA5, ZP2, ZP3
ACRBP	ATL2
ACSBG2	CMSS1, ZZEF1
ACSF2	ACSM5, C19orf70, C2orf47, C6orf203, PPA2, RDH10
ACSF3	AUP1, FBXL18, HAUS2, KCTD14, MATN4, NDUFC2-KCTD14, OXLD1, RAB28, SDHB, TMEM70, TRMT61B
ACSL1	ACSL6, BDH1, C15orf48, C17orf89, COQ9, COX6B1, NDUFA4, NDUFAF4, PARK2
ACSL3	BCL6, BRAP, ETS2, GNAT2, HES6, HIPK4, IFT140, LYN, MTHFD1, NEIL3, NEURL4, PPP2CA, PPP6R1, PPP6R2, RELA, SETD8, SPG20, STAT3, TCF4, TMEM173, TP53, WDR19, YES1, YY1
ACSL5	COQ9, COX6B1, EPT1, FAM136A, GPAM
ACSL6	ACSL1, PCMTD2, PHYH, ZNF16
ACSM1	APBA3, GBP5, PRC1, SLC22A16, SRPRB
ACSM2A	CTNNBL1
ACSM3	EHMT2
ACSM5	ACSF2, CPS1, MCCC1, MDP1, NUDT19, PCCA, POLG, PPOX
ACSS1	CLPP, ECI2, FAM136A, HSPD1, NDUFS7, PPA2, SIRT3, TMEM70, VAC14
ACSS2	CAD, MAT2A, UPF1, WARS
ACTA1	ABL1, ABLIM2, ABLIM3, ABRA, ACTB, ACTBL2, ACTG1, ACTR10, ACTR1B, ADSS, AFAP1, AIF1, AJUBA, AKT1, ANXA1, APC2, BIN1, BRK1, CAP1, CBL, CCIN, CCT2, CCT4, CCT5, CDH2, CDKN2A, CFL1, CLIC5, CNN1, CORO2B, COTL1, CSNK1A1, CTNNBL1, CTNND1, CTTN, CYFIP1, CYTH1, DBP, DHX9, DLG1, DMAP1, DMC1, DNASE1, DNMBP, DSTN, DT DVL1, EAF2, EGFR, EPB41, EPB41L2, EPS8, ETV6, FAN1, FGD4, FHOD1, FOXRED2, FPGT-TNNI3K, FSCN1, GAS2, GAS7, GC, GSN, HCLS1, HDAC1, HDAC4, HIF1A, HIP1R, HTRA2, IQGAP1, ITGA2, ITPKA, KAT5, KIAA0754, KIF23, KLHL20, LASP1, LGALS2, LGALS3, MACF1, MAP1A, MAPK14, MARK4, MINPP1, MLPH, MTSS1, MYL1, MYLK, MYO10, MYO18A, MYO1C, MYO6, MYO7A, MYO9B, NCKAP1, NCSTN, NEXN, NMI, NR3C2, NRAP, PAK1, PARVA, PDF, PFDN1, PFN1, PHACTR1, PIK3R1, PLD1, POLR1B, POU5F1, PP13439, PPP1CA, PPP1R15B, PPP1R1A, PPP1R9B, PRKACA, PRKCA, PRKCD, PRKCE, PTPN22, RAC1, RELA, RPA2, RPEL1, RPS6KB1, RRN3, S100A1, S100A4, SCIN, SHC1, SMARCB1, SMTN, SNCA, SORBS1, SPRR1A, SPTA1, SPTAN1, SPTBN2, SRA1, SRC, SSH1, SSH2, SSH3, TAGLN, TES, TJP1, TLE3, TLN1, TMOD1, TNNC1, TNNI1, TNNI3, TNNI3K, TP53, TPM2, TPM3, TRAF3IP1, TRIM63, TRIP6, TSC1, TTN, UBAC2, USP21, USP25, USP6NL, UTRN, VASP, VAV1, VCL, VIL1, VIM, WASF2, WASL, WIPF1, XIRP1, XPO6, ZNF16, DVL1, DT ACTBL2
ACTA2	AARS, ACTBL2, ACTC1, ACTN2, ADRA1A, ADRA1D, AFM, ALOX12, C9orf43, CAP1, CAP2, CCT4, CCT5, CDK10, CFL1, CKLF, CNN2, DBP, DNASE1, DUSP10, EGFR, FAN1, FSCN1, GC, GSTP1, KCNMA1, KLF5, LGALS2, LGALS3, LIM2, LRRK2, MINK1, MRPL47, MRPS2, MRPS7, MYH10, MYH11, MYH9, MYL1, MYL12B, MYO1C, MYOC, NMI, PECR, PHACTR2, PRKCD, REG3A, RNF217, RPL10A, RPL14, RPL17, RPL18, RPL7A, RPS15A, RPS16, RPS23, RPS26, SCGB1A1, SELE, SNTA1, SPATA22, SPTAN1, SSH1, TPM1, TREX1, TRIM9, TSC1, TTN, TWF2, UBAP1, UBE3A, URI1, YBX1, YIPF2, YWHAB, YWHAE, ZNF433, ZYX
ACTB	ABLIM1, ABRA, ACE, ACP1, ACTA1, ACTB, ACTC1, ACTG1, ACTN1, ACTN2, ACTR1A, ACTR1B, ADA, AHSG, AICDA, AKT1, ALK, ALOX5, ANGPTL2, ANGPTL4, ANXA1, ANXA5, AP2M1, AQP2, ARPC1B, ASB14, ATF3, ATP13A2, BAIAP2, BCAR1, BCL7C, BRK1, C12orf56, C17orf89, CACNG3, CAD, CAP1, CAP2, CAPZA1, CAPZA3, CARM1, CAV1, CBL, CBX5, CCL28, CCNJ, CCR10, CCT2, CCT4, CCT5, CCT8, CDC5L, CDH1, CDK5R2, CDKN2A, CENPA, CFL1, CFL2, CFTR, CHUK, CLIC4, CLNS1A, CNN2, CORO1A, CORO1B, CORO1C, CORO7, COTL1, CPN1, CPN2, CPNE1, CPNE2, CPNE4, CRK, CSNK1A1, CTGF, CTNNB1, CTNND1, CTTN, DAB2, DBP, DCTN2, DCTN5, DCTN6, DHX9, DMTN, DNASE1, DNM2, DPF3, DSTN, DT DUSP19, DUSP19, DYNC1H1, DYNC1LI2, DYNLRB1, EEF1A1, EEF1A2, EGFR, EIF4A3, ENC1, EPB41, EPB41L2, EPB41L3, EPS15, EPS8L1, EPS8L2, ERBB2, EZR, FAF2, FAM107A, FASTKD3, FEZ1, FHL3, FHL5, FHOD1, FLII, FLOT2, FN1, FPR1, GAPDH, GLB1L3, GNA12, GRB2, GSN, GZMA, GZMK, HCK, HIP1R, HMMR, HNF1A, HNRNPAB, HNRNPD, HNRNPU, HNRNPU-AS1, HSD17B4, IKBKB, ILF3, INO80, INSR, IQGAP1, IVNS1ABP, KAT2B, KAT5, KLHL35, LASP1, LBP, LGALS13, LILRB3, LM LMOD1, LPGAT1, LRRK2, LSP1, LYN, MAGOH, MAGOHB, MAL, MAP1A, MAP1B, MAP2, MAPK13, MAPT, MCL1, MDK, MEPCE, MGMT, MKL1, MMP14, MPP4, MRGBP, MX1, MYBPC3, MYC, MYH11, MYH9, MYL12B, MYO18A, MYO18B, MYO1A, MYO1C, MYO1E, MYO1G, MYO5C, MYOC, NAT1, NCALD, NCKAP1, NCOA6, NEBL, NET1, NFKBIA, NMI, NOM1, NOS2, NOS3, NR3C2, NRAP, NSMAF, NT5E, OSTF1, OTUB1, P2RX7, PA2G4, PARK2, PCYT1A, PDF, PDLIM5, PFDN1, PFDN4, PFN1, PFN2, PHACTR2, PHACTR4, PHB, PIK3R2, PLAC8, PLD1, PLD2, PLEC, PLG, POLR1B, POLR2A, POU5F1, PP13439, PPID, PPP1CA, PPP1CC, PPP1R9A, PRKCD, PROM1, PRSS23, PTN, PTPN1, RAB1C, RAB35, RAB4A, RAB8B, RAC1, RAC2, RAN, RBX1, REG3A, RPA2, RPL35, RPL4, RUSC1, RUVBL1, RUVBL2, S100A11, SAMHD1, SCGB1A1, SCIN, SCN10A, SEC16B, SHC1, SLC12A3, SLC6A2, SLC6A5, SMAD3, SMARCA4, SMARCC2, SMARCD3, SMARCE1, SNCA, SORBS1, SPHAR, SPTAN1, SPTBN2, SRC, SS18, SSH1, SSH2, SSH3, STAU1, STX4, SVIL, SYNJ2BP, TAF11, TAGLN2, TANC1, TARDBP, TCP1, TGM2, THEMIS, TJP1, TNNI2, TOPBP1, TPM1, TPM2, TPM3, TPST1, TRAF2, TRAF3IP1, TRIM15, TSC1, TSGA10, TWF2, UBASH3B, UBE2Q2, UBE3A, UROD, USH1G, VASP, VCL, VIL1, VSNL1, WASF1, WASF2, WASF3, WASL, WIPF1, XPO6, YARS, YY1, LMOD1, LM TRAF3IP1, DT WASF2
ACTBL2	ACTA1, ACTA2, ADA, BRK1, BUB3, C9orf43, CAP1, CAP2, CDK10, CDKN2A, CEP97, CFL1, DBN1, DUSP19, ECI2, GSN, KDM5B, LRRC20, LRRK2, PHACTR2, PNMA1, PPP1R1B, PXK, SLC25A11, SLC30A6, SRD5A1, SSH1, STYX, TARDBP, TWF2, UBE3A, UBXN6
ACTC1	AATK, ABLIM3, ABRA, ACTA2, ACTB, ACTN4, ACTR2, AFAP1, ANG, CD2AP, CFL1, COBL, DAPK1, DBP, DMTN, EIF4A3, EZR, FAN1, FPGT-TNNI3K, FSCN1, GC, HSPB1, KLHL2, KPTN, LASP1, MAGOH, MAGOHB, MYBPC3, MYH10, MYLK, MYO18A, NDUFA4L2, PDCD6IP, PHACTR2, PLEC, PRKCE, RNASE4, SCIN, SLC4A1, SMARCA4, SUN2, SYNE1, SYNE2, TMOD3, TNNI3K, TPM1, TRAF3IP1, TWF1, TWF2, WIPF1, ZMYM4
ACTG1	ABLIM1, ACTA1, ACTB, AICDA, ANXA1, ANXA5, BRK1, C12orf56, C17orf89, CAD, CAP1, CAP2, CAPZA3, CDH1, CDKN2A, CFL1, CFL2, CHUK, CORO1B, CORO1C, COTL1, CTNND1, CTTN, DNASE1, DSTN, DUSP19, EEF1A1, EEF1A2, EPS8L1, EPS8L2, FAF2, FEZ1, FHL5, FHOD1, FN1, FPR1, GSN, GZMA, GZMK, IKBKB, ILF3, LBP, LGALS13, LRRK2, LSP1, MAP1A, MDK, MEPCE, MPP4, MYO1A, MYO1C, MYO5C, MYOC, NCKAP1, NFKBIA, NMI, NR3C2, PLAC8, PLD1, PLEC, POU5F1, PP13439, PPP1CC, PPP1R9A, RAN, RBX1, RUVBL1, RUVBL2, SCIN, TOPBP1, TRAF2, TRAF3IP1, TSGA10, UBE2Q2, VASP, VCL, VIL1, WASF1, WASL, WIPF1, YARS
ACTG1P4	CDK6
ACTG2	CBL, FAF2, FOXRED2, KCNMA1, LRRK2, NEB
ACTL6A	ARID1A, ARID1B, BANF1, BCL7A, BCL7C, BCRP1, BRD8, CDC5L, CDH1, CDK2, CDK9, DMAP1, DPF2, DPF3, EAF2, EP400, FEN1, FLII, FLOT2, FOXR1, GRB2, H2AFZ, HINT1, ING1, ING2, ING3, INO80, INO80E, KAT2A, KAT5, MAP3K8, MORF4L1, MRGBP, MYC, PBRM1, POLR2A, RELA, RUVBL1, RUVBL2, SF1, SMAP2, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SS18, TBL1XR1, TFF1, TP53, TRIM33, TRRAP, UCHL5, YY1, ZNHIT1
ACTL6B	BCL7A, BCL7C, CHRNG, CTBP1, DPF2, DPF3, ERI2, HIST1H2BA, RUVBL1, RUVBL2, SLC35A5, SLC38A7, SMARCA2, SMARCC2, SMARCD1, SS18, YEATS4
ACTL7A	ENAH, TES
ACTL8	ADPRHL1, BAP1, COL4A3BP, GPBP1, RNF2, TCF20, USP7
ACTL9	QRICH1
ACTN1	ACTB, ACTN2, ACTN4, ADORA2A, C11orf82, CAD, CALD1, CAMK2A, CBL, CDAN1, CDH1, CDK5, CDK5R1, CDK5R2, CEBPA, CKB, CLIC5, CLU, COL17A1, CRP, CSRP1, CSRP3, CTNNA1, CYC1, DAG1, DCAF8, DDN, ECSIT, EIF2A, EIF2S1, EZR, FAF2, FBP1, GIPC1, GRIA4, GRIN2A, ITGB1, LMO4, LPP, MAP2, MAP3K1, MICALL2, MYH15, MYH2, MYOT, MYOZ1, MYOZ2, MYOZ3, NEBL, OAS1, PAK1, PALLD, PDLIM1, PDLIM5, PHB, PKD1, PKN1, PLD2, PLEK, PTK2, PTPN1, PTPN6, PYGB, RAVER1, SF3A3, SLC9A3R2, SORBS2, SRC, SRP19, SSX2IP, STAM2, SUN2, SVIL, SYNPO, SYNPO2L, TES, TJP1, TPM1, TPM2, TPM3, TPM4, TRAF3IP1, TRPM2, TTN, TUBA1A, VASP, VCL, XRCC4, ZYX
ACTN2	ACTA2, ACTB, ACTN1, ACTN4, ADAM12, ADORA2A, ANG, BAD, CACNA1D, CALM2, CAMK2A, CAMK2D, CAMK2G, CSRP3, DISC1, DLG1, DLG4, EPS8L1, FBXL22, GRIN1, GRIN2B, GRIP1, HK1, HK2, HTR1B, KCNA4, KCNA5, KCNN2, LDB3, LMO4, LRP12, LRRC7, MICALL2, MYH1, MYH2, MYH3, MYH4, MYH6, MYH7, MYH8, MYOT, MYOZ1, MYOZ2, MYOZ3, MYPN, NCOA2, NRAP, PALLD, PDLIM1, PDLIM3, PKD2, PSMB5, RAVER1, RNASE4, RPP14, SELE, SSX2IP, ST7, SYNPO2, TNN, TNNI1, TPM1, TPM2, TPM3, TPM4, TTN, UTRN, ZYX
ACTN4	ACTC1, ACTN1, ACTN2, ADORA2A, AHNAK, ALDOA, ALDOC, ALK, ATP6V1B1, BAP1, BMP7, C11orf82, CAMK2A, CAMK2B, CAMK2G, CKB, COL17A1, CTNNB1, CYC1, ECSIT, EGFR, ESR1, FMNL1, GLB1L3, GNB2, GSN, HDAC7, HGS, IDH3A, INO80, IQGAP1, ITGB1, LCMT2, LRRC7, MAGI1, MCFD2, MEF2A, MICALL2, MYH14, MYH15, MYH2, MYH7B, MYO5C, MYOZ2, NCAPG2, NEB, NFYA, NMI, NOS2, PDLIM1, PPARG, PSMA6, PSMB5, PSMB8, PTPN11, PTPN6, PUS7, RARA, SERPINE1, SF3A3, SHC1, SLC9A3R2, SSH1, SUN2, SVIL, TJP1, TPM1, TPM2, TPM3, TPM4, TRAF3IP1, TRIM3, TSG101, UBASH3B, UBTF, USP6NL, VCL, VDR
ACTR10	ACTA1, ACTR1A, ACTR1B, ANAPC13, C16orf45, C1orf106, CAPZA2, CENPW, CEP152, CSPP1, DCTN1, DCTN2, DCTN3, DCTN4, DCTN6, DEFB127, DYNC1H1, GPS2, KLHL2, LMNB1, MAPK8IP3, MIS18A, NAGK, NEXN, NGEF, PDGFD, RABEP1, RIC8A, RPS19BP1, TP53, UQCRH
ACTR1A	ACADSB, ACTB, ACTR10, ACTR1B, BICD2, C16orf45, C1orf106, CAD, CAPZA2, CCAR1, CDC45, CDC5L, DCTN1, DCTN2, DCTN3, DCTN4, DCTN5, DCTN6, DEFB127, DYNC1H1, DYNC1LI2, DYNLRB1, FOXC1, HSP90AB1, HSPA8, KLHL2, KPNA3, KPNA4, LMNB1, MCM2, MCM7, MEF2A, MIS18A, MYH9, NUMA1, PACSIN3, PDGFD, PITX2, POLR2D, PSMC4, PSMD1, RBP4, RIC8A, RRS1, SF3A1, SF3A3, SPTBN1, SPTBN2, UBR5, ZW10
ACTR1B	ACTA1, ACTB, ACTR10, ACTR1A, C16orf45, C4BPB, CAPZA2, CAPZB, CCAR1, CCT2, CSPP1, CYFIP1, DCTN1, DCTN2, DCTN3, DCTN4, DCTN5, DCTN6, DEFB127, GPS2, KDM2A, KLHL2, KPNA4, LMNB1, MIS18A, NGEF, PACSIN3, PDCL3, PDGFD, RABEP1, RIC8A, RPS19BP1, SCIN, SCYL1, SEH1L, SMAD6, SRA1, UQCRH, ZW10
ACTR2	ACTC1, ACTR3, ACTR3B, ANP32B, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC4-TTLL3, ARPC5, ARPC5L, BASP1, BMP2, CAPZA1, CAPZA2, CCT5, CD163, CD44, CDC5L, CFL1, CLTA, COBL, CORO1A, CORO1B, CORO1C, CTTN, CYBRD1, DAB2, DSG2, EFHD2, EFTUD1, FAM98B, GPRC5A, GRPEL1, GSN, HCLS1, HSPBP1, INF2, IQGAP2, ITPR3, KIAA1279, LRRC56, LRRK2, LUZP1, MISP, MYO5C, MYO6, OSGEP, PANK4, PPP1R12A, PRKACB, PSMD7, RANGAP1, RPRD1B, RTN1, SPECC1, STXBP1, SVIL, TOM1L1, TP53RK, UBE2N, WASF1, WASF2, WASL
ACTR3	ACTR2, ACTR3B, ANP32B, ARHGAP17, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC4-TTLL3, ARPC5, ARPC5L, CCP110, CCT3, CCT4, CCT6A, CCT7, CD44, CDC42, CDH1, CEP97, COG3, CORO1A, CORO1B, CORO1C, CTTN, DNALI1, FUBP1, HCLS1, HEATR2, HNRNPL, KIAA1279, LASP1, LRRK2, MYO5C, PRKACB, RPA1, SAR1A, STXBP1, TP53RK, TPRKB, TTLL12, UBE3A, WASF1, WASF2, WASF3, WASL
ACTR3B	ACTR2, ACTR3, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, ARPC5L, C14orf166, CCT3, CCT4, CCT7, CCT8, CHURC1, LRRC56, PDCL
ACTR3C	DND1, ITGB8, OBFC1
ACTR5	ACTR8, CKLF, DDB1, H2AFX, HIST1H2AB, HIST1H2AE, HIST1H2BJ, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HIST4H4, INO80, INO80B, INO80C, INO80D, INO80E, KLF5, NFRKB, PPL, RUVBL1, RUVBL2, TBRG1, TCF3, TFPT, UCHL5, WBP2NL, YY1, ZNF148
ACTR6	CARD8, CHMP5, DMAP1, EAF1, EAF2, H2AFZ, HIST1H2BA, NFATC2IP, P4HA3, PUS7, QPRT, RUVBL1, RUVBL2, SRCAP, UBXN2B, YEATS4, YWHAE, ZNHIT1
ACTR8	ACTR5, AMY1C, BCL7A, DCAF10, INO80, INO80B, INO80E, NFRKB, RUVBL1, RUVBL2, UCHL5, YY1
ACVR1	ACVR1B, ACVR2A, ACVRL1, ARV1, BAMBI, BMP2, BMP7, BMPR1A, BMPR2, CD320, CREBBP, ENG, FKBP1A, FKBP1B, FKBP9, FNTA, GDF5, INHBA, INHBB, INHBC, LRRIQ1, MED16, MRAP2, OTUB1, PEG10, RGMB, RNF149, RXRA, SMAD1, SMAD5, SMAD6, SMAD7, SMAD9, SMURF1, TGFBR1, TGFBR2, TGFBRAP1, THRB, TNFRSF10A, TRAP1, TSC22D1, USP15, VDR
ACVR1B	ACVR1, ACVR2A, ACVR2B, BAMBI, BMPR2, DAB2, FKBP1A, INHBA, INHBB, INHBC, MRAP2, OTUB1, PEG10, SMAD2, SMAD3, SMAD4, SMAD6, SMAD7, SMURF1, SNX1, SNX2, TDGF1, TGFBRAP1, TRAP1, TSC22D1
ACVR1C	INHBB, TDGF1
ACVR2A	ACVR1, ACVR1B, ACVRL1, BMP10, BMP2, BMP6, BMP7, DAAM2, DAXX, ENG, GDF2, GDF5, GDF9, INHA, INHBA, INHBB, INHBC, MAGI2, PCDHAC1, PEG10, PRSS50, RGMB, RNF11, SYNJ2BP, TCTEX1D4, TGFBR3, TLR2
ACVR2B	ACVR1B, BMP10, BMP2, BMP6, BMP7, BMPR1A, ENG, FSTL1, GDF11, GDF2, GDF5, INHBA, INHBB, INHBC, MSTN, PEG10, RGMB, SMAD2, SMAD6, SMAD7, SNX1, SNX2, SNX6, SYNJ2BP, TGFBRAP1, TRAP1
ACVRL1	ACVR1, ACVR2A, BAMBI, CSNK2B, ENG, FKBP1A, GDF2, HSP90AA1, INHBA, ITGA5, LRG1, MAPK8IP2, NR1H2, PEG10, SLC25A24, SMAD1, SNX6, TGFB1, TGFB3, TGFBR1, TGFBR2, TGFBRAP1, TRAP1, TSC22D1
ACY1	ABHD14A-ACY1, BOLL, BPNT1, GLO1, GSTP1, HYI, ICOS, NUDT1, PDRG1, PECR, PHOSPHO1, PIP, PPME1, SEC13, SOD1, TRIM33, TTC1
ACY3	AAMDC, ARF5, ASPA, GORASP2, MPI, NEDD4L, PIAS2, PMM2
ACYP2	CREBZF, SULT2B1
ADA	ACP1, ACTB, ACTBL2, ADORA1, ADORA2A, ADORA2B, APRT, ATXN2, ATXN2L, CCDC101, CHEK1, DPP4, DRD1, FAP, GRB2, NR3C1, PTEN, SERPINB5, TEP1, TRRAP
ADAL	MESDC2
ADAM10	AXL, B3GNT1, B3GNT2, CD9, DLG1, DLL1, EFNA1, EPHA3, GRB2, LCK, MAD2L1, MPPE1, MSRB2, NOTCH1, OR4S2, PXN, RIBC2, SH3D19, TGFA, TSC22D4, TSPAN14, TSPAN15, TSPAN17, TSPAN33, TSPAN5
ADAM11	CBLN4
ADAM12	ACTN2, EGF, FST, FSTL3, GRB2, GUCD1, IGFBP3, IGFBP5, KRTAP4-12, KRTAP5-6, KRTAP9-8, LCE5A, MAPKBP1, OTX1, PACSIN3, PIK3R1, SH3D19, SPRY1, SRC, YARS2, YES1
ADAM15	ABL1, ADAM33, ARHGEF7, CDKN1A, CX3CL1, FYN, GRB2, HCK, ITGA5, ITGB3, LCK, LYN, MAD2L1, MAD2L2, MAPK1, MAPK3, NCK1, NPHP1, ODAM, PACSIN3, PTK6, SCAND1, SH3D19, SH3GL2, SH3GLB1, SH3PXD2A, SH3RF1, SH3RF3, SLK, SNX30, SNX33, SNX9, SORBS1, SORBS2, SORBS3, SPAG5, SRC, TRIP13, YES1
